AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.301;0.13;0;0;3386
0.368;0.152;0;0;3183
0.479;0.212;0;0;4462
0.57;0.308;0;0;3214
1.789;1.12;0;0;3230
0.36;0.152;0;0;4447
0.595;0.34;0;0;3230
0.456;0.19;0;0;4415
0.656;0.374;0;0;3386
0.324;0.136;0;0;4431
0.6;0.348;0;0;4088
0.804;0.476;0;0;4462
0.622;0.356;0;0;4415
0.578;0.308;0;0;4088
0.85;0.472;0;0;3386
0.174;0.118;0;0;4119
0.915;0.532;0;0;3230
0.371;0.152;0;0;4415
0.54;0.312;0;0;3386
0.276;0.116;0;0;4072
0.893;0.512;0;0;3214
0.469;0.212;0;0;3214
0.269;0.124;0;0;3386
0.573;0.242;0;0;4478
0.55;0.322;0;0;3370
0.497;0.204;0;0;3199
0.353;0.162;0;0;4525
5.408;2.246;0;0;3261
0.366;0.152;0;0;3386
0.349;0.148;0;0;3386
0.126;0.08;0;0;3386
1.684;1.022;0;0;4478
0.538;0.298;0;0;3199
0.336;0.136;0;0;3401
0.37;0.154;0;0;3199
0.3;0.124;0;0;3230
4.705;2.082;0;0;3386
0.328;0.142;0;0;3230
0.278;0.116;0;0;3214
0.429;0.18;0;0;4462
0.632;0.364;0;0;3417
0.436;0.182;0;0;3214
0.177;0.102;0;0;3214
0.376;0.162;0;0;3199
0.529;0.206;0;0;3214
0.144;0.088;0;0;3199
4.898;2.11;0;0;3417
0.267;0.114;0;0;3401
5.231;2.174;0;0;3214
0.292;0.128;0;0;4088
0.87;0.506;0;0;4493
0.542;0.326;0;0;3401
0.156;0.084;0;0;3386
0.398;0.168;0;0;4540
0.551;0.322;0;0;3386
0.189;0.1;0;0;3230
0.458;0.196;0;0;3386
0.501;0.202;0;0;3199
0.291;0.126;0;0;3401
0.206;0.108;0;0;3230
0.668;0.284;0;0;3199
2.107;1.982;0;0;3011
5.331;2.34;0;0;3261
0.603;0.332;0;0;3011
0.101;0.08;0;0;3152
0.246;0.154;0;0;4977
0.306;0.18;0;0;4805
0.44;0.238;0;0;4852
0.268;0.166;0;0;4119
5.53;2.068;0;0;4961
0.29;0.18;0;0;4103
0.928;0.53;0;0;4899
0.345;0.212;0;0;4930
0.335;0.184;0;0;4946
0.458;0.192;0;0;3214
1.738;1.094;0;0;4759
0.395;0.206;0;0;3230
0.6;0.278;0;0;4119
5.548;2.064;0;0;4930
0.32;0.174;0;0;4852
0.371;0.216;0;0;4961
0.248;0.154;0;0;4993
0.21;0.136;0;0;4805
0.487;0.294;0;0;3386
0.215;0.092;0;0;4883
0.356;0.168;0;0;4961
0.305;0.176;0;0;4696
5.886;2.048;0;0;4821
0.337;0.2;0;0;4961
0.264;0.168;0;0;5024
0.39;0.164;0;0;4852
0.296;0.172;0;0;4899
0.284;0.17;0;0;3261
1.021;0.51;0;0;4088
0.52;0.306;0;0;4103
0.875;0.496;0;0;6209
0.493;0.258;0;0;4790
0.33;0.202;0;0;4088
0.33;0.202;0;0;4103
0.597;0.342;0;0;4103
0.636;0.362;0;0;4805
0.449;0.23;0;0;3214
0.4;0.168;0;0;3230
0.127;0.074;0;0;4805
0.343;0.214;0;0;4852
0.375;0.208;0;0;3214
0.171;0.112;0;0;4915
0.328;0.19;0;0;4852
0.47;0.21;0;0;4103
0.352;0.212;0;0;4072
0.546;0.268;0;0;4774
0.347;0.208;0;0;4634
0.483;0.282;0;0;4103
0.737;0.444;0;0;5024
0.762;0.288;0;0;3230
0.427;0.174;0;0;4103
0.223;0.148;0;0;6209
0.225;0.148;0;0;3245
4.805;2.124;0;0;4977
0.241;0.136;0;0;3183
0.148;0.086;0;0;3261
0.346;0.144;0;0;3183
0.175;0.094;0;0;4852
0.355;0.17;0;0;3121
0.65;0.27;0;0;4946
1.754;0.876;0;0;4915
0.102;0.082;0;0;3277
1.6;0.722;0;0;3199
5.809;2.208;0;0;4805
0.383;0.228;0;0;4977
0.208;0.132;0;0;4883
0.486;0.212;0;0;4103
0.927;0.532;0;0;4946
0.224;0.144;0;0;4977
0.231;0.148;0;0;4852
0.395;0.224;0;0;4961
0.189;0.114;0;0;3214
0.471;0.19;0;0;3230
0.281;0.128;0;0;4837
0.339;0.204;0;0;3183
4.863;2.176;0;0;4977
0.359;0.162;0;0;4088
0.95;0.432;0;0;4868
0.343;0.212;0;0;4759
0.316;0.186;0;0;3230
0.503;0.202;0;0;4868
0.338;0.208;0;0;4961
0.399;0.184;0;0;4805
0.365;0.216;0;0;4883
0.263;0.156;0;0;4930
0.263;0.166;0;0;3261
0.345;0.168;0;0;4915
0.85;0.316;0;0;3401
0.163;0.108;0;0;4961
